coin,sell_spread_ma_M,buy_spread_ma_M,sell_spread_sd_M,buy_spread_sd_M,sell_spread_ma_L,buy_spread_ma_L,sell_spread_sd_L,buy_spread_sd_L,current_sell_spread,current_buy_spread,score,hyperliquid_funding_rate,hyperliquid_open_interest,hyperliquid_day_volume
PNUT/USDT,0.00021603702837666284,0.0010299652491654013,0.000711116402962078,0.0008190130732277886,5.0771905372754603e-05,0.0008979840758283734,0.00039329979704781474,0.00040738753525249954,-0.00037413717341960417,0.0005615927761567597,-0.4109968467373588,1.25e-05,4450788.763818,12673982.201815
DYM/USDT,0.0008450684260928351,0.0019855103405960707,0.0005798719624508643,0.0005814178590053309,0.0012132946543800735,0.0024085919716846853,0.00033164211028755133,0.00022264224696721754,0.0015782719181472098,0.0025168855975200577,-0.4451949890610897,1.25e-05,897820.7,1346588.47853
HBAR/USDT,0.0006086261066411156,0.001155163349481694,0.0004380249736212667,0.00043117710110005973,0.00028408482584694155,0.0007872264638832761,0.00030349589910153534,0.0003099141285564589,0.0002095072997335512,0.0006986270845508098,-0.44615230565599034,1.25e-05,2970523.8578399997,6747689.01802
POL/USDT,0.00046425883259384955,0.0009496172909183704,0.00044132286695492296,0.00041759550879825986,0.000564995195391788,0.001036063360310916,0.00028562075812458415,0.0003556129971767088,0.0009075548782600707,0.001485644019685109,-0.45684040161416334,1.25e-05,1104550.133,3554726.62135
FTM/USDT,0.0009172826933082656,0.0013771315898902271,0.0006401415223884353,0.0006273891550199244,0.0006521236316505416,0.001125640064439251,0.0005707931715401485,0.000509090129102695,0.0013975023894408965,0.0017635321612682136,-0.47013477254265634,3.02e-05,36651254.6304,122142634.3392
TON/USDT,-0.00037405850810791433,-3.906306775063714e-05,0.00034441794713981966,0.00033799180448284123,-0.0004803760949201813,-0.00012143773833756907,0.00018196310205387047,0.00023384720740593439,-0.0006714296072888882,-0.0001249894318227791,-0.4834805169756118,1.25e-05,3255181.8674,3426722.75597
LINK/USDT,0.0008515982823069338,0.001265051920648717,0.0007096752762992374,0.0007359894323942883,0.0011058141346790497,0.0014991903872179102,0.0006999820635140667,0.000763638467418318,0.0008215682754677123,0.0011423250181355564,-0.4936407733355772,1.25e-05,101358465.4816,86330344.62030001
APE/USDT,0.0008105129543629175,0.001412220160322858,0.0004769861120886439,0.0004733672637406955,0.0007233524403381894,0.0013458691419830856,0.00036927162206483043,0.00037674956170783195,0.0011891828666993744,0.0020034879841602984,-0.49377198622160895,1.25e-05,3510280.6281600003,3761071.4422
PYTH/USDT,1.284350663532616e-05,0.0005583514424061929,0.00045657612167101006,0.0004464313050829662,1.8179142900873433e-05,0.000601312728837922,0.000305841968176633,0.00033063379152816803,-0.00033671417123933966,0.00044220587435676796,-0.5126454797022213,1.25e-05,1090244.39552,1877390.03093
MEW/USDT,2.642549104850218e-05,0.0008385236328352627,0.00046141398684146107,0.00044042079806672015,-0.0004115727923191542,0.0004589974898471753,0.0004244106619018932,0.0004577214454065344,-0.0003854424033237869,0.0007712954128748973,-0.5158866483382653,1.25e-05,1443656.9137499998,2268647.25225
