coin,sell_spread_ma_M,buy_spread_ma_M,sell_spread_sd_M,buy_spread_sd_M,sell_spread_ma_L,buy_spread_ma_L,sell_spread_sd_L,buy_spread_sd_L,current_sell_spread,current_buy_spread,score,hyperliquid_funding_rate,hyperliquid_open_interest,hyperliquid_day_volume
ALGO/USDT,0.00040011774882565114,0.0011994342878163258,0.00048662974495571726,0.00047760633950230837,0.0004935228164132834,0.001270343705439274,0.0003106675476146844,0.00030516523655745557,0.0008147175789884316,0.001630163995212643,-0.35535568720836563,1.25e-05,785298.7302999999,1126030.1714
WLD/USDT,0.0006020854958428087,0.0009863018973324386,0.0008230671230500686,0.000784605359763787,-0.0003623594278989035,0.00012384395529784156,0.0003283181946853287,0.0003950909102544688,-0.0005368990219497392,0.00010074581284938787,-0.3743883440588449,1.25e-05,13316020.53342,19775126.08219
IMX/USDT,0.0002267058083919476,0.0010194446022147913,0.0004279069441453164,0.00036772137845218495,7.594266774458052e-05,0.0008010947314306768,0.0002664824570277262,0.00020343155379662028,0.0002492375938670509,0.0009865272633941225,-0.37966887262311005,1.25e-05,916338.0373999999,1189525.58309
BCH/USDT,0.00040361974185206694,0.0009663764578644083,0.00046328748794660505,0.00046051518733436367,5.1619227350427535e-05,0.0006361541184821862,0.00024352881093720602,0.00024205141195244516,0.0002778066178343633,0.0007782010694598008,-0.4022659302781757,1.25e-05,1992337.8951799998,7595929.66337
POL/USDT,0.0004767943046925936,0.0009600602605563589,0.0004342163553285424,0.00041155183639995284,0.0006139463584235698,0.0011072860823844169,0.00024755659414965955,0.00027839134425886324,0.0001831081681278141,0.0005995720565358026,-0.4518850507119627,1.25e-05,1101260.3942399998,3570968.30729
PYTH/USDT,2.0193262354767835e-05,0.0005685004350633517,0.0004516956528868462,0.00044188570423982345,-6.909899706296724e-06,0.0005847037681450753,0.0003249746475883766,0.0003482399239686938,0.0004222813371840902,0.001034882097436793,-0.46989535680920247,1.25e-05,1088188.34176,1913272.81742
MEW/USDT,1.556122799097903e-05,0.0008290022082397307,0.00045588847621903827,0.00043316237860237125,-0.00032230249594460706,0.0005449999721420488,0.0003773710162656816,0.0003934034814085012,-0.000259752141328473,0.0005198782229999479,-0.47262374995286777,1.25e-05,1485083.8580160001,2188170.046879
SOL/USDT,0.0006494471426893834,0.0007656868878503212,0.0004830245611044992,0.000492466227346868,0.0005721064153073163,0.0006720267498360175,0.00017146106800287235,0.000181137893687697,0.0006710317679442515,0.0008052834119639283,-0.47368801956645606,1.25e-05,315084634.057,710912154.6659
XRP/USDT,0.0010748539606222343,0.0012264997180790836,0.0007595766281509212,0.0007733541741433058,0.0005278968617552073,0.0006392262597787471,0.00021876044774044804,0.00022829981978666095,0.000499995527004469,0.0006666471548792379,-0.48569711675398686,1.25e-05,69589604.13859999,195457428.86069995
DYM/USDT,0.0008516112415102667,0.0019915031423873553,0.0005662391192552891,0.0005524091348949143,0.001214621453734983,0.0024164023471777356,0.0003374666431064983,0.00022084630120581096,0.001188483828805992,0.002280035574344567,-0.5234416972091878,1.25e-05,894190.9548000001,1344130.52314
ADA/USDT,-0.0003361482290471976,0.00012081045638368032,0.0003201629294947205,0.00032690243822711183,-0.0004636924077001245,4.909630800248762e-05,0.00023049124295858339,0.00022413754258722072,-0.0006474978431346227,-9.246326439119316e-05,-0.5296551147978861,1.25e-05,9374736.48768,21704302.71410001
SAND/USDT,0.0009272969645614608,0.0015033151274270614,0.0006888366465810674,0.0006659918966917928,0.0010057197201421117,0.0015243810763110972,0.0003888020937583689,0.0003574877665948757,0.0013873420940537229,0.0019237259737644081,-0.5648576763401986,1.25e-05,386896.2778,2589772.73973
GOAT/USDT,0.0007194189443803331,0.0015730518279810032,0.0009022603511825209,0.0008429840450310112,0.0007779780439702149,0.0016090788319862686,0.0008218097270542237,0.0007829071765525745,0.0018260582633641228,0.0025663722921700567,-0.5855685310815764,1.25e-05,20825694.812000003,20474835.42471001
HBAR/USDT,0.0005923735188224289,0.0011451729255010537,0.00047610590877603315,0.0004761107787906271,0.00025833119044320324,0.0008031049903989677,0.00029689630306799816,0.00031546192636722735,0.0005599587654016154,0.0010504195855523786,-0.5966309041934075,1.25e-05,2950328.5841599996,6820805.17851
ETC/USDT,0.0007834093115877651,0.0012844533574510187,0.0004659115559803802,0.0004593445762066299,0.000501393046096491,0.0009843965667885848,0.0003073247561622689,0.0003508985870820406,0.0005678449358258674,0.0009267262457374897,-0.6872517374751856,2.66e-06,1315218.17802,2651280.61065
TON/USDT,-0.00037993133565952,-4.597899267690746e-05,0.0003366440502069041,0.0003325535700642341,-0.0004930194636935235,-0.00014951855724717894,0.00017684085856750842,0.0001853156246650743,-0.0005517971923481673,-0.0002680411289182036,-0.7041844534563516,1.25e-05,3232813.86392,3419359.17419
APE/USDT,0.0008217729954586876,0.001424484178305524,0.0005018905232274266,0.000497630570656533,0.0007406749972366085,0.00139073787638114,0.00038477110709511815,0.0004040076469404755,0.0013261878757700226,0.0019585222856908766,-0.7114331750622582,1.25e-05,3565824.0744,3734696.30171
DYDX/USDT,0.0007471407931564644,0.0018519923927121258,0.0005423701959794393,0.0005212362966171258,0.0006499754622749961,0.0017595182211532084,0.00042471781552300716,0.00042191758550420475,0.00023290086025750292,0.0017249411914176235,-0.7150155786100506,1.25e-05,9515231.0688,11925819.03374
FTM/USDT,0.0009172826933082656,0.001377131589890227,0.000655940079036998,0.0006127268995513105,0.0006521236316505416,0.001125640064439251,0.0005707931715401488,0.0005090901291026947,0.0013975023894408965,0.0017635321612682136,-0.7251538912906753,1.25e-05,37331609.6928,121635451.90380003
BNB/USDT,0.0008358253033922845,0.0010195386686839673,0.0005817807508928689,0.0005877824400438706,0.00024514613094398364,0.00038859272336151516,0.0001925242775566607,0.00018673869241530647,0.0003922297347582184,0.0005043643762434279,-0.7339985188552381,1.25e-05,24335619.528,38165104.17092002
